,name,m,lambda_r,epsilon,sigma
1,(+)-a-pinene,1,84.8076560303,882.827343572,6.77458431873e-10
2,(+)-a-pinene,2,22.9876991524,515.698358554,5.03299210721e-10
3,(+)-a-pinene,3,13.9992958721,345.969724104,4.26725152103e-10
4,(+)-a-pinene,4,11.4144434527,267.1341203,3.79995585397e-10
5,(+)-a-pinene,5,9.98607119553,218.767584271,3.4662005593e-10
6,(+)-a-pinene,6,9.05173120873,185.342303693,3.20726316235e-10
7,(+)-camphene,1,65.9551034523,839.316973494,6.68232255815e-10
8,(+)-camphene,2,19.0283796498,470.14982618,4.96271546305e-10
9,(+)-camphene,3,12.6262749514,317.003540821,4.22265037812e-10
10,(+)-camphene,4,10.530682152,245.407200859,3.76142681434e-10
11,(+)-camphene,5,9.32089829531,200.81988473,3.42946741291e-10
12,(+)-camphene,6,8.52382667154,170.13784753,3.17250397687e-10
13,(-)-a-pinene,1,84.8076560303,882.827343572,6.77458431873e-10
14,(-)-a-pinene,2,22.9876991524,515.698358554,5.03299210721e-10
15,(-)-a-pinene,3,13.9992958721,345.969724104,4.26725152103e-10
16,(-)-a-pinene,4,11.4144434527,267.1341203,3.79995585397e-10
17,(-)-a-pinene,5,9.98607119553,218.767584271,3.4662005593e-10
18,(-)-a-pinene,6,9.05173120873,185.342303693,3.20726316235e-10
19,(-)-camphene,1,65.9551034523,839.316973494,6.68232255815e-10
20,(-)-camphene,2,19.0283796498,470.14982618,4.96271546305e-10
21,(-)-camphene,3,12.6262749514,317.003540821,4.22265037812e-10
22,(-)-camphene,4,10.530682152,245.407200859,3.76142681434e-10
23,(-)-camphene,5,9.32089829531,200.81988473,3.42946741291e-10
24,(-)-camphene,6,8.52382667154,170.13784753,3.17250397687e-10
25,"(1,1-dimethylbutyl)benzene",1,188.223592579,1030.70398598,7.1958221425e-10
26,"(1,1-dimethylbutyl)benzene",2,35.0750369915,634.555908703,5.35131449145e-10
27,"(1,1-dimethylbutyl)benzene",3,17.9497216587,434.12934475,4.50002796809e-10
28,"(1,1-dimethylbutyl)benzene",4,13.6579931297,331.101333482,4.00256568036e-10
29,"(1,1-dimethylbutyl)benzene",5,11.6575562553,271.77016923,3.65381003454e-10
30,"(1,1-dimethylbutyl)benzene",6,10.3545978182,230.229175959,3.38308055398e-10
31,(1-ethyl-1-methylpropyl)benzene,1,188.223592579,1030.70398598,7.1958221425e-10
32,(1-ethyl-1-methylpropyl)benzene,2,35.0750369915,634.555908703,5.35131449145e-10
33,(1-ethyl-1-methylpropyl)benzene,3,17.9497216587,434.12934475,4.50002796809e-10
34,(1-ethyl-1-methylpropyl)benzene,4,13.6579931297,331.101333482,4.00256568036e-10
35,(1-ethyl-1-methylpropyl)benzene,5,11.6575562553,271.77016923,3.65381003454e-10
36,(1-ethyl-1-methylpropyl)benzene,6,10.3545978182,230.229175959,3.38308055398e-10
37,(1-ethylbutyl)benzene,1,188.223592579,1030.70398598,7.1958221425e-10
38,(1-ethylbutyl)benzene,2,35.0750369915,634.555908703,5.35131449145e-10
39,(1-ethylbutyl)benzene,3,17.9497216587,434.12934475,4.50002796809e-10
40,(1-ethylbutyl)benzene,4,13.6579931297,331.101333482,4.00256568036e-10
41,(1-ethylbutyl)benzene,5,11.6575562553,271.77016923,3.65381003454e-10
42,(1-ethylbutyl)benzene,6,10.3545978182,230.229175959,3.38308055398e-10
43,(1-methylenepropyl)benzene,1,92.0111293666,918.340810123,6.46680120423e-10
44,(1-methylenepropyl)benzene,2,24.3384185289,541.818747587,4.80561395584e-10
45,(1-methylenepropyl)benzene,3,14.4422604395,363.669507729,4.06979455548e-10
46,(1-methylenepropyl)benzene,4,11.6878420383,280.466908713,3.62358088574e-10
47,(1-methylenepropyl)benzene,5,10.1908502828,229.746743436,3.30570636565e-10
48,(1-methylenepropyl)benzene,6,9.21319465371,194.645881455,3.05901699902e-10
49,(1-methylpentyl)benzene,1,188.223592579,1030.70398598,7.1958221425e-10
50,(1-methylpentyl)benzene,2,35.0750369915,634.555908703,5.35131449145e-10
51,(1-methylpentyl)benzene,3,17.9497216587,434.12934475,4.50002796809e-10
52,(1-methylpentyl)benzene,4,13.6579931297,331.101333482,4.00256568036e-10
53,(1-methylpentyl)benzene,5,11.6575562553,271.77016923,3.65381003454e-10
54,(1-methylpentyl)benzene,6,10.3545978182,230.229175959,3.38308055398e-10
55,(1-thiapropyl)-benzene,1,103.955878822,997.553851458,6.50331971691e-10
56,(1-thiapropyl)-benzene,2,26.3630061987,595.800070605,4.83454507244e-10
57,(1-thiapropyl)-benzene,3,15.0961951428,400.713468246,4.08774129866e-10
58,(1-thiapropyl)-benzene,4,12.0809411584,308.429938769,3.63873816722e-10
59,(1-thiapropyl)-benzene,5,10.4846243443,252.751332633,3.32004387371e-10
60,(1-thiapropyl)-benzene,6,9.44394353117,214.138332656,3.07266275793e-10
61,(1R)-(-)-menthyl chloride,1,3690.31134903,1100.21042531,7.34365244571e-10
62,(1R)-(-)-menthyl chloride,2,48.9402499429,675.769787079,5.43417495037e-10
63,(1R)-(-)-menthyl chloride,3,22.8854802485,476.774183852,4.55648436904e-10
64,(1R)-(-)-menthyl chloride,4,16.0744657769,362.096724001,4.03960297279e-10
65,(1R)-(-)-menthyl chloride,5,13.3788213757,296.961829496,3.68889231291e-10
66,(1R)-(-)-menthyl chloride,6,11.6593041229,251.364478571,3.41689259331e-10
67,(1S)-(-)-b-pinene,1,84.8076560303,882.827343572,6.77458431873e-10
68,(1S)-(-)-b-pinene,2,22.9876991524,515.698358554,5.03299210721e-10
69,(1S)-(-)-b-pinene,3,13.9992958721,345.969724104,4.26725152103e-10
70,(1S)-(-)-b-pinene,4,11.4144434527,267.1341203,3.79995585397e-10
71,(1S)-(-)-b-pinene,5,9.98607119553,218.767584271,3.4662005593e-10
72,(1S)-(-)-b-pinene,6,9.05173120873,185.342303693,3.20726316235e-10
73,(2-methyl-1-propenyl)benzene,1,84.8076560303,929.779567517,6.58793964643e-10
74,(2-methyl-1-propenyl)benzene,2,22.9876991524,543.125221796,4.89432955341e-10
75,(2-methyl-1-propenyl)benzene,3,13.9992958721,364.369752244,4.14968567133e-10
76,(2-methyl-1-propenyl)benzene,4,11.4144434527,281.341361535,3.69526433612e-10
77,(2-methyl-1-propenyl)benzene,5,9.98607119553,230.402503242,3.37070423996e-10
78,(2-methyl-1-propenyl)benzene,6,9.05173120873,195.199535023,3.1189007546e-10
79,(3-chloropropyl)cyclohexane,1,339.822201501,1015.36113161,7.08450521929e-10
80,(3-chloropropyl)cyclohexane,2,41.0146861665,629.030601059,5.26252697191e-10
81,(3-chloropropyl)cyclohexane,3,20.0219804536,436.52005314,4.41744893603e-10
82,(3-chloropropyl)cyclohexane,4,14.6925855125,331.439610344,3.92404079513e-10
83,(3-chloropropyl)cyclohexane,5,12.4173563556,272.23779183,3.58299650877e-10
84,(3-chloropropyl)cyclohexane,6,10.9352031663,230.566173988,3.31823180566e-10
85,(3-methylpentyl)benzene,1,188.223592579,1030.70398598,7.1958221425e-10
86,(3-methylpentyl)benzene,2,35.0750369915,634.555908703,5.35131449145e-10
87,(3-methylpentyl)benzene,3,17.9497216587,434.12934475,4.50002796809e-10
88,(3-methylpentyl)benzene,4,13.6579931297,331.101333482,4.00256568036e-10
89,(3-methylpentyl)benzene,5,11.6575562553,271.77016923,3.65381003454e-10
90,(3-methylpentyl)benzene,6,10.3545978182,230.229175959,3.38308055398e-10
91,(4-methylpentyl)benzene,1,188.223592579,1030.70398598,7.1958221425e-10
92,(4-methylpentyl)benzene,2,35.0750369915,634.555908703,5.35131449145e-10
93,(4-methylpentyl)benzene,3,17.9497216587,434.12934475,4.50002796809e-10
94,(4-methylpentyl)benzene,4,13.6579931297,331.101333482,4.00256568036e-10
95,(4-methylpentyl)benzene,5,11.6575562553,271.77016923,3.65381003454e-10
96,(4-methylpentyl)benzene,6,10.3545978182,230.229175959,3.38308055398e-10
97,(<+->)-2-chlorooctane,1,269.679714596,972.204765503,6.93462927233e-10
98,(<+->)-2-chlorooctane,2,39.0001846618,601.693412332,5.15385792147e-10
99,(<+->)-2-chlorooctane,3,19.3075598199,415.552994586,4.32822833536e-10
100,(<+->)-2-chlorooctane,4,14.3430012683,315.887952242,3.846702735e-10
101,(<+->)-2-chlorooctane,5,12.1626683167,259.429288997,3.51212705917e-10
102,(<+->)-2-chlorooctane,6,10.7414058994,219.741338362,3.25238887564e-10
103,"(E)-2,2,5,5-tetramethylhex-3-ene",1,248.276458021,929.225917476,7.16057619673e-10
104,"(E)-2,2,5,5-tetramethylhex-3-ene",2,38.1871384988,574.678844557,5.32268963641e-10
105,"(E)-2,2,5,5-tetramethylhex-3-ene",3,19.0223116728,396.117546866,4.47100534495e-10
106,"(E)-2,2,5,5-tetramethylhex-3-ene",4,14.2016731095,301.290433089,3.97434781079e-10
107,"(E)-2,2,5,5-tetramethylhex-3-ene",5,12.0589566896,247.418073552,3.6285519454e-10
108,"(E)-2,2,5,5-tetramethylhex-3-ene",6,10.6622511969,209.575422216,3.36010737546e-10
109,(R)-(+)-propylene oxide,1,49.3880245116,626.443100404,4.6812596774e-10
110,(R)-(+)-propylene oxide,2,15.2476987294,328.919340684,3.48593381372e-10
111,(R)-(+)-propylene oxide,3,11.0976221083,224.936689086,2.9730753464e-10
112,(R)-(+)-propylene oxide,4,9.48518205467,174.166039685,2.64798357979e-10
113,(R)-(+)-propylene oxide,5,8.52611604705,142.439686212,2.41240741257e-10
114,(R)-(+)-propylene oxide,6,7.88636969072,120.713812281,2.23138639497e-10
115,(R)-(-)-sec-butylamine,1,79.902137097,681.500105715,5.79326510875e-10
116,(R)-(-)-sec-butylamine,2,22.012827625,394.781466183,4.30316951494e-10
117,(R)-(-)-sec-butylamine,3,13.6737870156,264.913975329,3.65162848448e-10
118,(R)-(-)-sec-butylamine,4,11.2098684167,204.708197254,3.25207203597e-10
119,(R)-(-)-sec-butylamine,5,9.83255916216,167.612335779,2.96615597678e-10
120,(R)-(-)-sec-butylamine,6,8.93036168854,142.002156769,2.744404858e-10
121,(R)-2-amino-6-methylheptane,1,775.828507178,948.25971309,7.12661120964e-10
122,(R)-2-amino-6-methylheptane,2,45.7357095564,586.188058585,5.28423819713e-10
123,(R)-2-amino-6-methylheptane,3,21.7245896702,411.043048069,4.43234015063e-10
124,(R)-2-amino-6-methylheptane,4,15.5136417556,311.847261363,3.93253895111e-10
125,(R)-2-amino-6-methylheptane,5,12.9989749251,256.022065704,3.59112032105e-10
126,(R)-2-amino-6-methylheptane,6,11.3746465019,216.765379056,3.32614662777e-10
127,(R)-2-aminooctane,1,775.828507178,948.25971309,7.12661120964e-10
128,(R)-2-aminooctane,2,45.7357095564,586.188058585,5.28423819713e-10
129,(R)-2-aminooctane,3,21.7245896702,411.043048069,4.43234015063e-10
130,(R)-2-aminooctane,4,15.5136417556,311.847261363,3.93253895111e-10
131,(R)-2-aminooctane,5,12.9989749251,256.022065704,3.59112032105e-10
132,(R)-2-aminooctane,6,11.3746465019,216.765379056,3.32614662777e-10
133,(R)-2-heptylamine,1,140.10981784,815.679539908,6.77962531185e-10
134,(R)-2-heptylamine,2,31.0627527082,497.004182617,5.04241096185e-10
135,(R)-2-heptylamine,3,16.6138622827,336.991242605,4.24948825172e-10
136,(R)-2-heptylamine,4,12.946236683,258.090739104,3.78126045064e-10
137,(R)-2-heptylamine,5,11.1291921089,211.687794503,3.45108245132e-10
138,(R)-2-heptylamine,6,9.94651184261,179.345337455,3.19477016178e-10
139,(S)-(+)-2-methylbutyronitrile,1,115.361214867,830.748363765,5.76679493099e-10
140,(S)-(+)-2-methylbutyronitrile,2,28.0583875603,500.3389275,4.28807399111e-10
